TitleGroupStr,TitleGroupCode,SuffixType,SuffixLen,Mode,说明,负责人,
DevModuleConf,Ag,10,-1,,设备中模块的配置,许丰平,
HotRead,Ah,17,-1,,热读新闻,,
KafkaCommonCollect,Ai,13,-1,,kafka通用采集,许丰平,
RedEnvolepeUUIDMap,Aj,19,-1,,红包UUID与房间号的映射,,
,Ak,,,,,,
TopicInvestData,B0,11,4,,主题投资数据,何浩,
DividData,B1,1,5,,除权数据,,
F10_GSGK,B2,1,5,A,F10 公司概况,,
F10_CWTS_ZYCWZB,B3,1,5,A,F10 财务透视_主要财务指标,,
F10_CWTS_XJLLBZY,B4,1,5,A,F10 财务透视_现金流量表,,
F10_ZXJB_DJDCWZB,B5,?1,?5,A,F10 最新季报_单季财务指标,,
F10_ZXJB_DJDLEB,B6?,?1,?5,A,F10 最新季报_单季度利润表,,
F10_GDJC_GDHS,B7,?1,?5,A,F10 股东进出_股东户数,,
F10_GBFH_GBJG,B8?,?1,?5,A,F10 股本分红_股本结构,,
F10_GDJC_SDGD,B9,?1,?5,A,F10?股东进出_十大股东,,
F10_GDJC_SDLTGD,C0,?1,?5,A,F10?股东进出_十大流通股东,,
?F10_GBFH_FHKG,C1,?1,?5,A,F10?股本分红_分红扩股,,
NewsCenter,C2,0,0,,新闻中心,,
MarketStatus,C3,2?,2?,,市场状态数据?,,
YiZhiXinYeJiYuCe,C4,1,5,,一致性业绩预测,,
YiZhiXinTouZiPinJi,C5,1,5,,一致性投资评级,,
GeGuYeJiYuCe,C6,1,5,,个股业绩预测,,
GeGuTouZiYanBao,C7,1,5,,个股投资研报,,
RealTimeFinance,C8,1,5,,实时财务数据,,
TradeRequite,C9,0,0,,交易回报数据,,
EventNews,D0,0,0,,事件资讯数据,,
StockPool,D1,0,0,,股票池数据,,
F10_CPBD_ZXZB,D2,1,5,A,F10操盘必读_最新指标,何浩,
F10_CPBD_KPQK,D3,1,5,A,F10操盘必读_控盘情况,,
F10_CPBD_CJHB,D4,1,5,A,F10操盘必读_成交回报,,
F10_CWTS_LRFPBZY,D5,1,5,A,F10财务透视_利润分配表摘要,,
F10_CWTS_ZCFZBZY,D6,1,5,A,F10财务透视_资产负债表摘要,,
F10_ZYGC,D7,1,5,A,F10主营构成,,
F10_DSTX_JJLT,D8,1,5,A,F10大事提醒 解禁流通,,
F10_DSTX_RZRQ,D9,1,5,A,F10大事提醒 融资融券,,
F10_DSTX_JGCC,Da,1,5,A,F10大事提醒 机构持仓,,
F10_DSTX_GDZJC,Db,1,5,A,F10大事提醒 股东增减持,,
F10_DSTX_DZJY,Dc,1,5,A,F10大事提醒 大宗交易,,
F10_DSTX_CGBDQK,De,1,5,A,F10大事提醒 董事、监事、高管及相关人员持股变动情况,,
F10_ZXJB_DJDXJLLB,Df,1,5,A,F10最新季报 单季度现金流量表摘要,,
F10_GDJC_KGGD,Dg,1,5,A,F10股东新出 控股股东,,
F10_GDJC_SJKZR,Dh,1,5,A,F10股东新出 实际控制人,,
F10_GBFH_GBBD,Di,1,5,A,F10股本分红 股本变动,,
F10_ZBYZ_CYQTSSZQ,Dj,1,5,A,F10资本运作 持有其他上市证券,,
F10_ZBYZ_CYFSSGQ,Dk,1,5,A,F10资本运作 持有非上市股权情况,,
F10_ZBYZ_RZQKZFYSS,Dl,1,5,A,F10资本运作 融资情况增发（已实施）,,
F10_ZBYZ_XMTZ_MJZJQK,Dm,1,5,A,F10资本运作 募集资金情况,,
F10_ZBYZ_XMTZ_MJZJCNXM,Dn,1,5,A,F10资本运作 募集资金承诺项目,,
F10_ZBYZ_XMTZ_MJZJBGXM,Do,1,5,A,F10资本运作 募集资金变更项目,,
F10_ZBYZ_XMTZ_FMJZJXM,Dp,1,5,A,F10资本运作 非募集资金项目,,
F10_HYDW,Dq,1,5,A,F10行业地位,,
F10_RSR_ProForecast,Dr,1,5,A,F10盈利预测 盈利预测表,,
F10_RSR_InvestRating,Ds,1,5,A,F10盈利预测 投资评级表,,
F10_RSR_EarnPSFore,Dt,1,5,A,F10盈利预测 每股收益预测明细表?,,
F10_RSR_ResReport?,Du,1,5,A,F10盈利预测 研报格式表,,
F10_GLC,Dv,1,5,A,F10管理层 高层人员情况,,
F10_GLC_NDBCQK,Dw,1,5,A,F10管理层 董事、监事和高管人员年度报酬情况,,
FndDividData,Dx,1,5,,基金分红数据,,
,,,,,,,
StockFutureEvent,E0,1,5,,股票未来事件(前瞻日历),,
TradeRequiteStat,E1,1,5,,交易回报数据统计(最近30日龙虎榜统计数据),,
RongZiRongQuan,E2,1,5,,融资融券数据,,
SubjectAnalysis,E3,0,0,,主题分析,,
OverallInfo,E4,0,0,,总体信息,,
TodayListStock,E5,0,0,,今日挂牌,,
TodayBrokerStock,E6,0,0,,今日新增做市,,
TodayConvertStock,E7,0,0,,今日协议转做市,,
TodayIssueStock,E8,0,0,,今日增发,,
BrokerDetaileInfo,E9,14,0,,做市商详细信息,,
StockBrokerInfo,Ea,1,5,,股票做市商列表明细,,
IssueDetaileInfo,Eb,1,5,,股票定增详情,,
IssueStatInfo,Ec,14,0,,最近一周/近一月/近三月/近一年定增统计信息,,
FinanceQuickReport,Ed,14,0,,?财务快报列表? ,,
BrokerList,Ee,0,0,,做市商列表,,
SanBanClassNews,Ef,15,-1,,新三板分类新闻,,
StockNews,Eg,1,5,,个股新闻,,
StockAnnouncemt,Eh,1,5,,个股公告,,
AnnouncemtCenter,Ei,0,0,,公告中心,,
ClassNews,Ej,15,-1,,分类新闻(新闻中心),,
FinanceStat,Ek,1,5,,财务统计(B$行业),,
MarketTradeDate,El,2,2,,市场交易日期,,
FutureInfo,Em,1,5,,期货基本信息,,
F10FUND_CPBD_FBSJJZJZ,En?,?1,5,A,基金F10操盘必读_封闭式基金周净值,,
F10FUND_CPBD_JJFEBDQK,Eo,?1,5,A,基金F10操盘必读_基金份额变动情况,,
F10FUND_CPBD_JJGBJB,Ep,?1,5,A,基金F10操盘必读_基金公布季报,,
F10FUND_CPBD_JJJZBX,Eq,?1,5,A,基金F10操盘必读_基金净值表现,,
F10FUND_CPBD_JJXX,Er,1,5,A,基金F10操盘必读_基金详细,,
F10FUND_CPBD_ZFE,Es,1,5,A,基金F10操盘必读_总份额,,
F10FUND_CWSJ_JYYJ,Et,1,5,A,基金F10财务数据_经营业绩,,
F10FUND_CWSJ_ZCFZ,Eu,1,5,A,基金F10财务数据_资产负债,,
F10FUND_CWSJ_ZYCWZB,Ev,1,5,A,基金F10财务数据_主要财务指标,,
F10FUND_CYR_HSHJG,Ew,1,5,A,基金F10持有人_户数和结构,,
F10FUND_FEFH_FBSJJCYRJG,Ex,1,5,A,基金F10份额分红_封闭式基金持有人结构,,
F10FUND_FEFH_FH,Ey,1,5,A,基金F10份额分红_分红,,
F10FUND_FEFH_KFSJJJDFEBD,Ez,1,5,A,基金F10份额分红_开放式基金季度份额变动,,
F10FUND_GPMX_BQZDMCGP,EA,1,5,A,基金F10股票明细_本期重大卖出股票,,
F10FUND_GPMX_BQZDMRGP,EB,1,5,A,基金F10股票明细_本期重大买入股票,,
F10FUND_GPMX_QBCG,EC,1,5,A,基金F10股票明细_全部持股,,
F10FUND_HGZW,ED,1,5,A,基金F10回顾展望,,
F10FUND_HYTZ,EE,1,5,A,基金F10行业投资,,
